Date,Open,High,Low,Close,Volume,Adj Close
10/17/2014,198.17,201.98,198.17,199.5,2198700,199.5
10/16/2014,182.79,197.07,181.93,193.81,1390000,193.81
10/15/2014,183.99,188.37,180.13,187.12,1512900,187.12
10/14/2014,185.42,192.28,182.62,188.69,1298700,188.69
10/13/2014,194.51,200.75,184.71,184.97,1903600,184.97
10/10/2014,197.96,198.01,180.51,189.37,3793300,189.37
10/9/2014,208.03,208.18,198.31,199.26,1298600,199.26
10/8/2014,207.21,208,201.36,207.84,1121500,207.84
10/7/2014,213.25,213.25,206.71,207.22,1194700,207.22
10/6/2014,219.28,219.33,213.37,214.82,1427700,214.82
10/3/2014,212.05,220.2,211.65,214.67,2045900,214.67
10/2/2014,201.53,210.43,201.47,210.22,2693200,210.22
10/1/2014,205.51,206.39,196.45,199.55,1668100,199.55
9/30/2014,206.7,210.87,204.61,207.47,1315500,207.47
9/29/2014,201.09,205.44,199.8,205.15,619600,205.15
9/26/2014,198.72,202.93,198.68,202.28,473200,202.28
9/25/2014,201.1,202.12,198.42,199.15,542400,199.15
9/24/2014,200.3,202.44,199.72,202.27,621600,202.27
9/23/2014,202.68,203.04,201,201.15,478500,200.83
9/22/2014,206.08,206.84,202.49,202.98,793400,202.66
9/19/2014,207.35,208,204.59,205.69,559300,205.37
9/18/2014,210.41,210.71,205.82,206.8,763900,206.48
9/17/2014,206.31,209.82,205.98,208.78,882700,208.45
9/16/2014,201.81,206.56,200.75,205.94,673900,205.62
9/15/2014,201.8,202.44,201.27,201.53,601500,201.21
9/12/2014,205.89,206.07,200.96,201.36,920000,201.04
9/11/2014,202.8,206.38,202.52,206.29,557600,205.97
9/10/2014,206.68,206.71,204.04,204.62,590400,204.3
9/9/2014,205.65,207.24,204.8,206.25,589700,205.93
9/8/2014,207.42,208.65,205.59,205.7,486400,205.38
9/5/2014,206.98,207.93,206.4,207.41,424200,207.08
9/4/2014,205.9,208.2,205.05,206.82,607300,206.5
9/3/2014,205.5,207.22,204.74,205.02,750600,204.7
9/2/2014,200.84,204.44,200.7,203.93,872100,203.61
8/29/2014,201.01,201.21,199.59,200.6,493200,200.28
8/28/2014,200.32,200.55,199,200.36,479800,200.05
8/27/2014,200.75,200.91,198.52,200.44,405000,200.13
8/26/2014,200.62,201.23,199.97,200.05,413100,199.74
8/25/2014,200.06,200.4,199.38,199.74,441600,199.43
8/22/2014,200,200.47,198.9,199.61,283000,199.3
8/21/2014,200.92,200.92,198.65,199.92,418900,199.61
8/20/2014,197.52,200.51,197.11,200.22,522500,199.91
8/19/2014,197.12,198.12,196.67,197.73,495500,197.42
8/18/2014,196.24,197.69,195.8,196.91,477900,196.6
8/15/2014,195.24,195.59,191.81,195.53,659900,195.22
8/14/2014,191.2,194.16,190.97,194.08,450700,193.78
8/13/2014,191.56,192.32,190.19,190.57,481800,190.27
8/12/2014,191.59,193.01,190.06,191.11,328300,190.81
8/11/2014,190,192.27,189.8,191.72,348300,191.42
8/8/2014,188.03,189.75,186.77,189.5,355600,189.2
8/7/2014,190.45,191.09,186.43,187.54,763500,187.25
8/6/2014,189.43,191.32,188.94,189.75,481000,189.45
8/5/2014,189.12,190.59,188.59,190.3,940700,190
8/4/2014,188.36,192.18,187.01,191.92,722700,191.62
8/1/2014,189.32,190.41,186.09,187.18,1160200,186.89
7/31/2014,192.31,192.68,189.65,189.95,849100,189.65
7/30/2014,190.18,192.97,190.17,192.73,545300,192.43
7/29/2014,193.08,193.28,190.13,190.49,715400,190.19
7/28/2014,194.56,194.82,192.06,192.61,814900,192.31
7/25/2014,195.11,195.71,194.19,194.6,649400,194.29
7/24/2014,199.19,199.19,195.46,195.75,650600,195.44
7/23/2014,199.14,199.58,197.18,198.51,732800,198.2
7/22/2014,196.33,199.65,196.09,198.03,858500,197.72
7/21/2014,194.69,196.91,193.78,195.53,615200,195.22
7/18/2014,188.99,194.84,188.99,194.84,1123800,194.53
7/17/2014,185.22,192.79,184.65,188.04,1906700,187.74
7/16/2014,182.75,184.27,182.25,183.91,718800,183.62
7/15/2014,182.3,183.3,181.52,182.69,655000,182.4
7/14/2014,183.59,184.19,182.3,182.79,412500,182.5
7/11/2014,181.76,183.5,180.74,182.85,477900,182.56
7/10/2014,182.22,182.56,180.76,181.89,610000,181.6
7/9/2014,182.41,184.05,181.58,184,370700,183.71
7/8/2014,182.64,182.9,180.6,182.28,386000,181.99
7/7/2014,186.9,186.9,182.53,183.31,609000,183.02
7/3/2014,182.18,184.27,181.96,183.08,331400,182.79
7/2/2014,183.84,184.34,181.05,181.39,833400,181.11
7/1/2014,181.2,182.36,179.9,180.2,493400,179.92
6/30/2014,179.99,184.98,179.68,181.14,602600,180.86
6/27/2014,179.74,180.56,179.02,180.13,480100,179.85
6/26/2014,179.2,180.03,178.1,179.82,592600,179.54
6/25/2014,176.88,179.51,176.81,178.69,958000,178.41
6/24/2014,181.18,181.18,176.96,177.03,1485600,176.43
6/23/2014,183.68,184.24,182.39,183.27,410500,182.65
6/20/2014,183.52,184.46,181.38,184.16,793700,183.53
6/19/2014,183.16,183.42,182.2,182.54,664100,181.92
6/18/2014,182,182.84,181.43,182.73,743200,182.11
6/17/2014,184.32,184.9,182.05,182.09,684900,181.47
6/16/2014,184.72,185.68,183.2,184.41,631900,183.78
6/13/2014,181.1,186,180.91,184.82,1445000,184.19
6/12/2014,180.03,181.92,179.35,181.74,1786200,181.12
6/11/2014,179.38,181.59,179.05,180.97,825500,180.35
6/10/2014,178.95,179.77,177.38,179.6,985400,178.99
6/9/2014,179.91,181.13,178.44,179.57,1185400,178.96
6/6/2014,177.62,179.77,177.3,179.75,1344800,179.14
6/5/2014,174.77,177.57,173.55,177.45,1931700,176.84
6/4/2014,172.58,175.1,172.3,174.28,1875600,173.69
6/3/2014,169.78,171.83,168.68,171.46,1428500,170.88
6/2/2014,168.24,169.85,167.81,169.74,881000,169.16
5/30/2014,167.36,167.9,166.34,167.52,697200,166.95
5/29/2014,166.98,167.68,166.08,167.4,885900,166.83
5/28/2014,166.78,167.6,165.73,166.81,1595000,166.24
5/27/2014,166.62,167.14,165.75,166.52,470900,165.95
5/23/2014,165.23,165.91,164.03,165.68,345100,165.12
5/22/2014,163.2,165.81,162.81,164.73,465700,164.17
5/21/2014,162.64,163.92,162.22,163.36,1032400,162.8
5/20/2014,161.31,164.37,161.13,162.15,791100,161.6
5/19/2014,160.65,162.43,159.12,162.14,372600,161.59
5/16/2014,159.37,160.53,158.72,160.36,564900,159.81
5/15/2014,160.81,161.71,158.04,158.93,353600,158.39
5/14/2014,160.44,162.05,159.8,160.98,347800,160.43
5/13/2014,162.11,162.32,160.22,160.29,616600,159.74
5/12/2014,159.85,162.58,159.58,162.26,626600,161.71
5/9/2014,159.51,160.51,158.68,159.18,368100,158.64
5/8/2014,158.26,161.2,157.89,160.1,632500,159.55
5/7/2014,156.07,158.43,155.63,158.17,512600,157.63
5/6/2014,156.65,157.05,155.91,156.08,307600,155.55
5/5/2014,157.32,157.39,155.29,156.65,608400,156.12
5/2/2014,157.44,159.84,156.6,157.75,1106300,157.21
5/1/2014,155.29,157.48,155.2,156.2,904500,155.67
4/30/2014,151.24,156.35,150.62,155.97,1563000,155.44
4/29/2014,149.9,151.7,149.6,151.22,2434500,150.7
4/28/2014,155.76,156.19,153.31,154.98,505200,154.45
4/25/2014,152.85,155.35,152.36,155.2,963500,154.67
4/24/2014,155.54,155.62,152.04,153.03,494600,152.51
4/23/2014,156.46,157.03,154.53,154.87,788400,154.34
4/22/2014,151.72,158.47,151.72,156.76,1551300,156.23
4/21/2014,148.24,149.36,146.72,148.94,766100,148.43
4/17/2014,147.32,149.7,147.32,148.18,419700,147.67
4/16/2014,145.88,147.43,145.4,147.26,341500,146.76
4/15/2014,145.28,147.53,143.75,145.29,505800,144.79
4/14/2014,144.43,145.76,143.65,145.15,691400,144.66
4/11/2014,143.38,145.36,142.73,143.86,584200,143.37
4/10/2014,148.94,148.94,144.15,144.6,735500,144.11
4/9/2014,148.14,149.92,147.91,149.01,428200,148.5
4/8/2014,148.3,148.76,146.33,147.75,636700,147.25
4/7/2014,150.97,151.51,147.91,147.91,760000,147.41
4/4/2014,153.11,154.86,151.46,151.95,471800,151.43
4/3/2014,153.41,154,151.45,153.7,583500,153.18
4/2/2014,150.96,153.96,150.32,153.28,814200,152.76
4/1/2014,150.64,151.21,149.15,150.72,808200,150.21
3/31/2014,149.4,152.28,149.3,150.43,540300,149.92
3/28/2014,147.96,149.65,147.53,148.23,524600,147.72
3/27/2014,149.04,149.27,147.15,147.48,561400,146.98
3/26/2014,150.73,151.82,149,149.18,527600,148.67
3/25/2014,150.86,151.16,149.61,150.46,623700,149.64
3/24/2014,150.75,151.98,149.18,150.09,560100,149.27
3/21/2014,152.25,152.37,150.01,150.36,669900,149.54
3/20/2014,152.95,153.24,150.99,151.4,703900,150.57
3/19/2014,156.12,156.12,152.71,153.79,461800,152.95
3/18/2014,155.38,157.98,155.16,155.99,486800,155.13
3/17/2014,153.96,155.99,153.66,154.8,426800,153.95
3/14/2014,154.2,154.29,153.04,153.24,502800,152.4
3/13/2014,157.39,158.23,154.5,154.87,806900,154.02
3/12/2014,152.61,157.03,151.6,156.83,756400,155.97
3/11/2014,154.91,155.55,152.49,152.95,866500,152.11
3/10/2014,156,156.02,153.72,154.35,679200,153.5
3/7/2014,158.7,158.7,155.67,156.1,657600,155.24
3/6/2014,159.12,159.77,158.07,158.58,576400,157.71
3/5/2014,158.24,159.4,158.01,158.68,398800,157.81
3/4/2014,157.95,159.07,157.65,157.85,543900,156.98
3/3/2014,155.4,156.75,154.81,156.15,506700,155.29
2/28/2014,154.97,159.05,154.43,157,722700,156.14
2/27/2014,155.69,155.69,154.1,154.74,448000,153.89
2/26/2014,157.04,157.04,154.72,155.06,561200,154.21
2/25/2014,158,158.66,155.69,156,733200,155.14
2/24/2014,157.91,159.7,157.2,157.95,604600,157.08
2/21/2014,156.4,156.95,155.64,156.22,459600,155.36
2/20/2014,155.84,156.97,155.35,156.34,510600,155.48
2/19/2014,156.35,157.3,155.45,155.61,528100,154.76
2/18/2014,155.15,157.37,154.65,156.81,872500,155.95
2/14/2014,154.75,156.9,153.61,154.65,754700,153.8
2/13/2014,153.78,155.35,152.45,154.97,670100,154.12
2/12/2014,153.48,154.59,152.5,154.54,573700,153.69
2/11/2014,151.78,153.44,151.1,152.98,733200,152.14
2/10/2014,151.26,152.59,150.78,151.79,669600,150.96
2/7/2014,151.89,152.64,149.32,151.81,498500,150.98
2/6/2014,147.62,150.95,146.99,150.65,853400,149.82
2/5/2014,147.09,148.51,145.01,148.26,808600,147.45
2/4/2014,147.75,148.51,145.4,148.41,581000,147.6
2/3/2014,151.47,152.79,146.4,147.28,1004000,146.47
1/31/2014,150.52,153.01,149.31,151.48,779900,150.65
1/30/2014,149.94,153.86,148.45,153.16,1230400,152.32
1/29/2014,141.19,153.68,139.37,147.61,2817700,146.8
1/28/2014,141.55,142.68,140.22,141.86,754600,141.08
1/27/2014,142.5,142.64,140.41,141.6,694100,140.82
1/24/2014,146.97,147.26,141.35,141.7,930200,140.92
1/23/2014,147.97,148.92,147.12,148.05,615500,147.24
1/22/2014,149.65,151.29,148.29,149.12,461800,148.3
1/21/2014,149.35,150.4,148.7,149.18,360500,148.36
1/17/2014,148.84,150.05,148.84,149.31,444400,148.49
1/16/2014,149.2,149.73,147.66,149.68,451100,148.86
1/15/2014,149.93,150.39,149.34,150.03,464800,149.21
1/14/2014,150.73,151.19,148.51,149.79,495700,148.97
1/13/2014,153.19,153.26,150,150.67,700300,149.84
1/10/2014,148.03,153.58,147.96,153.25,926700,152.41
1/9/2014,145.85,149.26,145.72,148.63,704100,147.82
1/8/2014,146.94,147.59,144.53,146.16,1027600,145.36
1/7/2014,146.99,147.8,145.89,146.92,827900,146.11
1/6/2014,150.01,150.09,146.85,147.47,551600,146.66
1/3/2014,150.35,151.42,148.8,149.94,606000,149.12
1/2/2014,150.23,151.64,149.17,149.2,555200,148.38
